"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Ontario","2016A000235","Employment","Health care and social assistance [62]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677721","7.2.24.1.3","610.3","","","","1"
"2020","Ontario","2016A000235","Employment","Health care and social assistance [62]","Both sexes","55 years and over","Persons","249","thousands","3","v19677722","7.2.24.1.4","192.5","","","","1"
"2020","Ontario","2016A000235","Employment","Information, culture and recreation [51, 71]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677729","7.2.25.1.2","43.5","","","","1"
"2020","Ontario","2016A000235","Employment","Information, culture and recreation [51, 71]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677730","7.2.25.1.3","181.1","","","","1"
"2020","Ontario","2016A000235","Employment","Information, culture and recreation [51, 71]","Both sexes","55 years and over","Persons","249","thousands","3","v19677731","7.2.25.1.4","47.4","","","","1"
"2020","Ontario","2016A000235","Employment","Accommodation and food services [72]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677738","7.2.26.1.2","133.8","","","","1"
"2020","Ontario","2016A000235","Employment","Accommodation and food services [72]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677739","7.2.26.1.3","164.6","","","","1"
"2020","Ontario","2016A000235","Employment","Accommodation and food services [72]","Both sexes","55 years and over","Persons","249","thousands","3","v19677740","7.2.26.1.4","39.9","","","","1"
"2020","Ontario","2016A000235","Employment","Other services (except public administration) [81]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677747","7.2.27.1.2","29.7","","","","1"
"2020","Ontario","2016A000235","Employment","Other services (except public administration) [81]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677748","7.2.27.1.3","174.7","","","","1"
"2020","Ontario","2016A000235","Employment","Other services (except public administration) [81]","Both sexes","55 years and over","Persons","249","thousands","3","v19677749","7.2.27.1.4","80.7","","","","1"
"2020","Ontario","2016A000235","Employment","Public administration [91]","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677756","7.2.28.1.2","21.6","","","","1"
"2020","Ontario","2016A000235","Employment","Public administration [91]","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677757","7.2.28.1.3","288.9","","","","1"
"2020","Ontario","2016A000235","Employment","Public administration [91]","Both sexes","55 years and over","Persons","249","thousands","3","v19677758","7.2.28.1.4","71.3","","","","1"


